time,Docked,pPrimed,Primed,Fusion,Transition 5
0.0,9798.0,196.0,5.0,1.0,0.0
0.0001,9797.84,196.15,5.01,1.0,0.0
0.0002,9797.82,196.15,5.03,1.0,0.0
0.0003,9797.84,196.14,5.02,1.0,0.0
0.0004,9797.79,196.17,5.04,1.0,0.0
0.0005,9797.7,196.25,5.05,1.0,0.0
0.0006,9797.76,196.19,5.05,1.0,0.0
0.0007,9797.65,196.3,5.05,1.0,0.0
0.0008,9797.71,196.25,5.04,1.0,0.0
0.0009,9797.71,196.25,5.03,1.01,0.01
0.001,9797.76,196.2,5.03,1.01,0.0
0.0011,9797.71,196.24,5.04,1.01,0.0
0.0012,9797.89,196.06,5.04,1.01,0.0
0.0013,9798.03,195.93,5.03,1.01,0.0
0.0014,9798.06,195.92,5.01,1.01,0.0
0.0015,9797.88,196.1,5.01,1.01,0.0
0.0016,9797.83,196.15,5.01,1.01,0.0
0.0017,9797.77,196.21,5.01,1.01,0.0
0.0018,9797.82,196.19,4.98,1.01,0.0
0.0019,9797.78,196.23,4.98,1.01,0.0
0.002,9797.82,196.19,4.98,1.01,0.0
0.0021,9797.88,196.15,4.96,1.01,0.0
0.0022,9797.94,196.09,4.96,1.01,0.0
0.0023,9798.0,196.04,4.95,1.01,0.0
0.0024,9798.0,196.05,4.94,1.01,0.0
0.0025,9798.1,195.96,4.93,1.01,0.0
0.0026,9798.05,196.01,4.93,1.01,0.0
0.0027,9797.99,196.08,4.92,1.01,0.0
0.0028,9798.05,196.02,4.92,1.01,0.0
0.0029,9798.16,195.92,4.91,1.01,0.0
0.003,9798.2,195.88,4.91,1.01,0.0
0.0031,9798.28,195.79,4.92,1.01,0.0
0.0032,9798.39,195.67,4.93,1.01,0.0
0.0033,9798.42,195.64,4.92,1.02,0.01
0.0034,9798.43,195.64,4.91,1.02,0.0
0.0035,9798.39,195.68,4.91,1.02,0.0
0.0036,9798.33,195.73,4.92,1.02,0.0
0.0037,9798.3,195.77,4.91,1.02,0.0
0.0038,9798.4,195.68,4.9,1.02,0.0
0.0039,9798.5,195.58,4.9,1.02,0.0
0.004,9798.48,195.61,4.89,1.02,0.0
0.0041,9798.56,195.52,4.9,1.02,0.0
0.0042,9798.51,195.57,4.9,1.02,0.0
0.0043,9798.44,195.64,4.9,1.02,0.0
0.0044,9798.43,195.66,4.89,1.02,0.0
0.0045,9798.52,195.59,4.87,1.02,0.0
0.0046,9798.4,195.71,4.87,1.02,0.0
0.0047,9798.37,195.75,4.85,1.03,0.01
0.0048,9798.32,195.79,4.86,1.03,0.0
0.0049,9798.33,195.78,4.86,1.03,0.0
0.005,9798.41,195.68,4.88,1.03,0.0
0.0051,9798.48,195.61,4.88,1.03,0.0
0.0052,9798.49,195.6,4.88,1.03,0.0
0.0053,9798.5,195.58,4.89,1.03,0.0
0.0054,9798.47,195.61,4.89,1.03,0.0
0.0055,9798.6,195.49,4.88,1.03,0.0
0.0056,9798.65,195.45,4.87,1.03,0.0
0.0057,9798.61,195.54,4.82,1.03,0.0
0.0058,9798.63,195.51,4.83,1.03,0.0
0.0059,9798.71,195.42,4.84,1.03,0.0
0.006,9798.78,195.34,4.85,1.03,0.0
0.0061,9798.73,195.4,4.84,1.03,0.0
0.0062,9798.68,195.45,4.84,1.03,0.0
0.0063,9798.66,195.48,4.83,1.03,0.0
0.0064,9798.67,195.46,4.84,1.03,0.0
0.0065,9798.68,195.45,4.84,1.03,0.0
0.0066,9798.73,195.4,4.84,1.03,0.0
0.0067,9798.76,195.36,4.85,1.03,0.0
0.0068,9798.74,195.39,4.84,1.03,0.0
0.0069,9798.76,195.37,4.84,1.03,0.0
0.007,9798.84,195.29,4.84,1.03,0.0
0.0071,9798.93,195.19,4.85,1.03,0.0
0.0072,9798.87,195.27,4.83,1.03,0.0
0.0073,9798.92,195.22,4.83,1.03,0.0
0.0074,9798.88,195.28,4.82,1.02,0.0
0.0075,9798.9,195.26,4.82,1.02,0.0
0.0076,9798.95,195.21,4.82,1.02,0.0
0.0077,9798.87,195.29,4.82,1.02,0.0
0.0078,9798.85,195.3,4.83,1.02,0.0
0.0079,9798.82,195.32,4.84,1.02,0.0
0.008,9798.77,195.37,4.84,1.02,0.0
0.0081,9798.76,195.38,4.84,1.02,0.0
0.0082,9798.79,195.36,4.83,1.02,0.0
0.0083,9798.64,195.52,4.82,1.02,0.0
0.0084,9798.64,195.52,4.82,1.02,0.0
0.0085,9798.67,195.5,4.81,1.02,0.0
0.0086,9798.72,195.45,4.81,1.02,0.0
0.0087,9798.67,195.52,4.79,1.02,0.0
0.0088,9798.7,195.51,4.77,1.02,0.0
0.0089,9798.66,195.56,4.76,1.02,0.0
0.009,9798.68,195.53,4.77,1.02,0.0
0.0091,9798.7,195.5,4.78,1.02,0.0
0.0092,9798.69,195.5,4.79,1.02,0.0
0.0093,9798.56,195.63,4.79,1.02,0.0
0.0094,9798.45,195.75,4.78,1.02,0.0
0.0095,9798.41,195.79,4.78,1.02,0.0
0.0096,9798.29,195.92,4.77,1.02,0.0
0.0097,9798.28,195.95,4.75,1.02,0.0
0.0098,9798.23,196.02,4.73,1.02,0.0
0.0099,9798.08,196.16,4.74,1.02,0.0
0.01,9798.12,196.12,4.74,1.02,0.0
0.0101,9798.35,195.89,4.74,1.02,0.0
0.0102,9798.38,195.87,4.73,1.02,0.0
0.0103,9798.43,195.82,4.73,1.02,0.0
0.0104,9798.34,195.91,4.73,1.02,0.0
0.0105,9798.33,195.91,4.74,1.02,0.0
0.0106,9798.32,195.92,4.74,1.02,0.0
0.0107,9798.33,195.93,4.72,1.02,0.0
0.0108,9798.44,195.83,4.71,1.02,0.0
0.0109,9798.48,195.8,4.7,1.02,0.0
0.011,9798.46,195.83,4.69,1.02,0.0
0.0111,9798.43,195.86,4.69,1.02,0.0
0.0112,9798.43,195.86,4.69,1.02,0.0
0.0113,9798.42,195.87,4.69,1.02,0.0
0.0114,9798.42,195.85,4.71,1.02,0.0
0.0115,9798.48,195.81,4.69,1.02,0.0
0.0116,9798.41,195.9,4.67,1.02,0.0
0.0117,9798.5,195.8,4.68,1.02,0.0
0.0118,9798.52,195.78,4.68,1.02,0.0
0.0119,9798.61,195.68,4.69,1.02,0.0
0.012,9798.53,195.77,4.68,1.02,0.0
0.0121,9798.6,195.72,4.66,1.02,0.0
0.0122,9798.63,195.7,4.65,1.02,0.0
0.0123,9798.41,195.92,4.65,1.02,0.0
0.0124,9798.42,195.9,4.66,1.02,0.0
0.0125,9798.38,195.97,4.63,1.02,0.0
0.0126,9798.35,196.01,4.62,1.02,0.0
0.0127,9798.23,196.14,4.61,1.02,0.0
0.0128,9798.44,195.93,4.61,1.02,0.0
0.0129,9798.39,195.96,4.63,1.02,0.0
0.013,9798.34,196.03,4.61,1.02,0.0
0.0131,9798.57,195.81,4.6,1.02,0.0
0.0132,9798.61,195.76,4.61,1.02,0.0
0.0133,9798.64,195.73,4.61,1.02,0.0
0.0134,9798.64,195.73,4.61,1.02,0.0
0.0135,9798.68,195.68,4.62,1.02,0.0
0.0136,9798.7,195.66,4.62,1.02,0.0
0.0137,9798.82,195.54,4.62,1.02,0.0
0.0138,9798.92,195.44,4.62,1.02,0.0
0.0139,9798.99,195.36,4.63,1.02,0.0
0.014,9798.95,195.44,4.59,1.02,0.0
0.0141,9798.9,195.49,4.59,1.02,0.0
0.0142,9798.81,195.6,4.57,1.02,0.0
0.0143,9798.85,195.56,4.57,1.02,0.0
0.0144,9798.85,195.57,4.56,1.02,0.0
0.0145,9798.78,195.64,4.56,1.02,0.0
0.0146,9798.89,195.52,4.57,1.02,0.0
0.0147,9798.77,195.61,4.6,1.02,0.0
0.0148,9798.59,195.81,4.58,1.02,0.0
0.0149,9798.5,195.9,4.58,1.02,0.0
0.015,9798.4,195.99,4.59,1.02,0.0
0.0151,9798.41,195.97,4.6,1.02,0.0
0.0152,9798.49,195.89,4.6,1.02,0.0
0.0153,9798.52,195.86,4.6,1.02,0.0
0.0154,9798.47,195.91,4.6,1.02,0.0
0.0155,9798.52,195.86,4.6,1.02,0.0
0.0156,9798.64,195.73,4.61,1.02,0.0
0.0157,9798.47,195.9,4.61,1.02,0.0
0.0158,9798.48,195.9,4.6,1.02,0.0
0.0159,9798.42,195.96,4.6,1.02,0.0
0.016,9798.33,196.04,4.61,1.02,0.0
0.0161,9798.21,196.18,4.59,1.02,0.0
0.0162,9798.32,196.06,4.6,1.02,0.0
0.0163,9798.32,196.06,4.6,1.02,0.0
0.0164,9798.25,196.11,4.62,1.02,0.0
0.0165,9798.34,196.02,4.61,1.03,0.01
0.0166,9798.29,196.08,4.6,1.03,0.0
0.0167,9798.21,196.17,4.59,1.03,0.0
0.0168,9798.36,196.01,4.6,1.03,0.0
0.0169,9798.43,195.94,4.6,1.03,0.0
0.017,9798.48,195.91,4.58,1.03,0.0
0.0171,9798.57,195.82,4.58,1.03,0.0
0.0172,9798.38,196.02,4.57,1.03,0.0
0.0173,9798.52,195.87,4.58,1.03,0.0
0.0174,9798.53,195.86,4.58,1.03,0.0
0.0175,9798.51,195.88,4.58,1.03,0.0
0.0176,9798.6,195.8,4.57,1.03,0.0
0.0177,9798.67,195.73,4.57,1.03,0.0
0.0178,9798.67,195.72,4.57,1.04,0.01
0.0179,9798.84,195.56,4.56,1.04,0.0
0.018,9798.8,195.59,4.57,1.04,0.0
0.0181,9798.77,195.64,4.54,1.05,0.01
0.0182,9798.63,195.77,4.55,1.05,0.0
0.0183,9798.69,195.71,4.55,1.05,0.0
0.0184,9798.78,195.62,4.55,1.05,0.0
0.0185,9798.81,195.6,4.53,1.06,0.01
0.0186,9798.73,195.68,4.53,1.06,0.0
0.0187,9798.62,195.8,4.52,1.06,0.0
0.0188,9798.57,195.85,4.52,1.06,0.0
0.0189,9798.53,195.89,4.52,1.06,0.0
0.019,9798.36,196.06,4.52,1.06,0.0
0.0191,9798.36,196.07,4.51,1.06,0.0
0.0192,9798.19,196.25,4.5,1.06,0.0
0.0193,9798.3,196.14,4.5,1.06,0.0
0.0194,9798.21,196.22,4.51,1.06,0.0
0.0195,9798.11,196.34,4.49,1.06,0.0
0.0196,9798.24,196.21,4.49,1.06,0.0
0.0197,9798.29,196.15,4.5,1.06,0.0
0.0198,9798.22,196.24,4.48,1.06,0.0
